86,65
38,71
97,54
96,80
42,17
100,64
86,9
77,44
69,5
22,12
21,97
24,38
35,27
48,85
84,48
78,22
93,24
29,35
5,54
73,36
74,75
32,68
16,61
33,23
15,59
35,74
68,73
46,35
64,46
88,30
75,48
91,44
9,15
16,68
10,16
51,8
16,21
30,14
67,30
14,10
77,12
51,30
1,71
17,22
5,28
21,1
7,33
8,82
91,51
51,94
4,18
64,13
100,84
5,40
53,43
76,33
9,77
77,39
35,67
60,41
83,29
23,55
54,78
66,2
35,93
46,72
98,17
40,65
14,4
25,53
31,65
38,17
67,49
67,46
25,26
75,74
79,36
47,48
63,73
9,9
12,74
19,72
56,11
89,19
15,29
50,70
50,34
92,98
54,77
1,15
33,6
24,79
6,99
50,34
81,67
97,8
35,2
10,78
6,70
92,91
